IDMachines,PeopleAtwork,StreetLights,Accidents,DamagedMovers,StRoadLength,RoadCurvature,HPBends,RoadType,RoadWidth,AvgSpeed,AgeOfRoad,RoadSurface
5,12,608,25,6,4521,90.11,23,1,49,0.77,11,Avg
4,12,762,37,6,4176,82.4,27,1,60,1.15,10,Avg
8,19,951,12,9,6672,76.6,10,0,71,0.42,1,Good
9,16,972,0,9,6840,52.08,12,0,65,0.4,1,Good
4,11,709,35,6,4251,80.31,20,1,50,0.92,7,Avg
1,10,499,41,3,1345,207.23,40,2,27,3.04,13,Poor
3,7,553,40,3,1493,227.6,37,2,36,3.89,11,Poor
7,19,1010,10,10,5067,10.36,1,0,77,0.14,5,Good
7,20,843,12,7,7384,78.57,6,0,86,0.49,6,Good
2,7,579,48,3,1725,209.35,45,2,29,3.99,11,Poor
6,13,624,23,6,2787,103.45,25,1,53,1.05,8,Avg
6,12,633,35,4,4762,131.84,15,1,45,1.03,10,Avg
10,18,952,14,8,8901,3.86,6,0,84,0.14,3,Good
5,13,670,25,4,3576,88.27,28,1,55,0.8,11,Avg
3,8,538,43,1,1780,244.9,43,2,24,2.68,14,Poor
6,13,777,29,6,4418,87.02,15,1,42,1.07,9,Avg
6,15,635,22,6,4150,81.09,23,1,49,0.91,9,Avg
6,12,626,37,6,4423,85.13,19,1,50,0.72,11,Avg
6,15,724,26,4,3688,132.98,26,1,44,1.42,6,Avg
8,17,846,7,7,5974,87.01,4,0,89,0.35,1,Good
1,10,458,42,2,1991,233.15,48,2,28,3.42,14,Poor
2,9,418,47,2,1891,190.67,33,2,23,2.81,14,Poor
1,10,510,41,2,1326,191.67,38,2,33,2.84,14,Poor
8,20,994,14,7,8887,72.78,7,0,67,0.3,1,Good
2,8,582,47,3,1580,161.53,31,2,29,3.42,13,Poor
8,17,1071,15,9,5617,62.95,2,0,65,0.31,2,Good
4,14,735,22,4,2685,138.29,20,1,57,0.93,11,Avg
6,11,761,21,6,2223,131.62,24,1,56,0.53,7,Avg
9,16,843,11,10,7474,30.04,12,0,70,0.19,4,Good
4,13,756,37,5,4520,119.86,26,1,44,0.99,7,Avg
8,18,1058,12,10,5436,24.52,13,0,98,0.18,5,Good
9,17,875,0,8,6686,73.16,11,0,94,0.1,0,Good
6,15,740,35,6,4895,120.21,20,1,55,0.71,10,Avg
6,13,754,27,4,3746,102.87,17,1,57,1.33,10,Avg
7,20,1015,4,7,6704,77.76,10,0,95,0.48,1,Good
10,20,971,19,8,5726,12.49,4,0,85,0.38,7,Good
2,8,584,50,2,1556,199.11,40,2,21,2.98,11,Poor
1,7,449,43,1,1335,232.71,33,2,38,2.68,12,Poor
7,20,923,3,7,8462,57.51,6,0,86,0.33,6,Good
6,15,771,35,6,4240,81.39,20,1,60,0.76,11,Avg
6,13,748,37,5,3158,111.56,24,1,48,1.12,6,Avg
8,19,1021,16,7,5972,29.74,11,0,80,0.16,1,Good
1,10,528,41,3,1817,177.19,44,2,31,3.42,13,Poor
3,8,516,42,1,1082,203.15,38,2,39,2.59,15,Poor
9,16,871,6,10,8724,32.54,14,0,74,0.13,7,Good
1,7,408,47,1,1106,214.85,39,2,36,3.53,12,Poor
4,13,612,37,4,4426,130.06,18,1,49,1.16,10,Avg
9,20,957,12,7,7381,58.9,7,0,95,0.12,1,Good
8,19,814,13,8,8981,55.19,8,0,84,0.29,0,Good
7,18,1056,13,7,6484,17.39,11,0,79,0.11,2,Good
1,9,538,41,2,1421,215.11,47,2,21,2.71,11,Poor
2,8,508,49,2,1036,157.68,36,2,28,3.79,15,Poor
2,7,419,40,1,1360,229.27,30,2,35,3.69,12,Poor
10,18,940,11,8,6514,56.88,11,0,70,0.12,3,Good
1,9,537,50,2,1071,157.33,39,2,22,2.91,15,Poor
2,7,509,49,3,1020,159.15,43,2,37,3.32,11,Poor
4,14,781,27,6,4167,89.69,28,1,59,1.46,11,Avg
6,15,746,26,6,4289,85.05,27,1,48,1.35,8,Avg
1,9,540,50,2,1696,218.47,46,2,26,3.41,12,Poor
9,16,809,3,9,8089,59.34,5,0,84,0.46,7,Good
2,9,540,42,1,1496,219.2,40,2,24,2.56,13,Poor
10,16,1014,2,8,8656,65.54,1,0,82,0.22,2,Good
1,8,582,45,1,1626,223.61,41,2,34,3.62,10,Poor
9,19,806,15,9,8373,31.24,14,0,79,0.34,0,Good
1,7,437,48,3,1868,223.31,33,2,21,3.65,15,Poor
5,12,655,21,6,2094,97.86,21,1,46,0.57,10,Avg
4,15,717,28,6,3545,99.78,19,1,60,0.99,9,Avg
3,10,455,44,1,1204,226.82,48,2,34,2.65,14,Poor
9,18,912,2,8,6640,12.99,6,0,94,0.46,0,Good
1,9,495,49,1,1251,241.23,35,2,39,3.13,14,Poor
4,14,641,24,6,2499,114.94,17,1,59,0.92,8,Avg
4,11,689,37,4,2693,81.16,28,1,43,0.97,8,Avg
3,10,428,40,2,1946,197.32,37,2,37,2.78,13,Poor
2,7,538,41,1,1531,159.41,32,2,24,2.58,15,Poor
5,11,674,24,6,2630,136.61,18,1,57,0.73,6,Avg
9,18,861,12,8,8413,5.76,2,0,65,0.41,7,Good
8,19,870,9,9,8514,62.54,7,0,64,0.14,4,Good
6,15,642,20,6,3507,113.94,16,1,41,1.13,11,Avg
10,16,864,14,8,5876,19.0,11,0,61,0.23,7,Good
9,18,1008,10,7,5442,85.83,3,0,73,0.23,4,Good
1,7,572,41,1,1140,153.85,34,2,34,3.92,13,Poor
8,17,888,2,7,8836,93.29,12,0,98,0.24,0,Good
1,9,563,47,2,1429,228.16,41,2,34,2.96,12,Poor
3,9,521,50,2,1131,168.44,38,2,28,2.67,10,Poor
4,15,789,27,6,3306,91.51,28,1,50,0.83,9,Avg
5,12,734,28,5,3799,91.15,24,1,43,1.29,10,Avg
6,15,724,29,6,2996,137.89,28,1,55,1.33,6,Avg
4,11,659,32,4,2844,106.26,27,1,41,1.34,6,Avg
6,14,723,22,5,2858,135.58,25,1,45,1.26,9,Avg
4,15,781,21,6,2062,90.93,16,1,46,0.92,9,Avg
4,15,683,35,5,3347,147.06,25,1,58,0.82,11,Avg
4,13,717,37,6,2722,145.08,15,1,47,0.96,6,Avg
6,13,629,20,5,4265,86.2,19,1,51,0.86,11,Avg
4,11,761,29,6,3396,138.4,17,1,58,0.77,10,Avg
3,7,487,44,2,1580,229.6,39,2,32,2.56,12,Poor
7,19,930,10,8,5513,43.02,1,0,73,0.29,7,Good
1,7,442,49,3,1394,160.87,49,2,32,2.61,14,Poor
2,9,571,44,2,1292,245.15,39,2,40,2.57,14,Poor
5,12,678,35,4,4787,111.12,16,1,52,0.53,10,Avg
9,16,910,5,7,7784,55.88,8,0,73,0.16,3,Good
3,9,532,43,3,1343,242.78,37,2,35,2.87,12,Poor
4,13,667,34,6,2831,97.97,26,1,52,0.66,8,Avg
1,7,449,46,3,1536,235.57,42,2,29,2.94,12,Poor
5,15,631,36,4,4149,130.71,18,1,53,1.16,11,Avg
3,8,472,40,2,1935,177.2,31,2,22,2.83,15,Poor
10,19,950,6,8,5587,84.86,11,0,66,0.27,2,Good
8,20,1055,8,8,5385,49.65,13,0,96,0.29,6,Good
5,15,607,39,6,2567,130.72,22,1,60,0.7,11,Avg
10,16,910,12,7,5554,75.12,8,0,94,0.16,1,Good
6,12,713,26,6,3507,118.93,28,1,43,0.78,11,Avg
7,20,1021,10,8,7738,61.46,8,0,89,0.18,2,Good
1,9,441,46,1,1764,205.86,49,2,26,3.88,15,Poor
3,10,485,46,3,1664,210.3,30,2,38,3.65,12,Poor
10,19,969,19,10,7675,28.36,11,0,81,0.42,7,Good
1,10,451,44,1,1828,159.12,40,2,32,4.0,15,Poor
3,9,434,44,3,1097,180.3,39,2,37,3.64,15,Poor
2,7,520,50,3,1058,185.94,33,2,26,3.37,12,Poor
6,15,648,27,4,4225,85.51,19,1,43,1.23,9,Avg
6,11,699,36,6,3462,138.67,26,1,53,0.67,8,Avg
10,17,1017,17,9,6418,72.94,9,0,71,0.11,2,Good
4,15,664,34,4,2865,119.68,15,1,45,1.38,11,Avg
9,20,1026,17,10,8070,8.7,2,0,75,0.18,1,Good
7,20,971,3,8,7190,26.24,2,0,91,0.16,0,Good
5,14,705,22,4,3529,122.29,26,1,49,1.0,10,Avg
1,10,502,46,3,1302,228.88,33,2,21,3.16,12,Poor
1,10,477,40,2,1853,150.46,31,2,24,3.56,12,Poor
2,7,475,43,2,1910,236.4,45,2,32,3.83,13,Poor
10,20,827,9,9,5320,74.98,2,0,83,0.37,6,Good
1,9,473,48,2,1579,161.81,38,2,29,3.79,12,Poor
8,16,864,8,8,8570,59.73,9,0,91,0.2,7,Good
7,18,1040,18,7,7030,3.07,12,0,89,0.13,0,Good
6,11,728,33,5,2859,147.14,18,1,60,0.59,6,Avg
2,10,431,50,3,1925,231.52,44,2,26,3.4,11,Poor
1,7,499,47,3,1422,180.98,47,2,23,2.77,15,Poor
3,10,471,49,3,1068,154.19,41,2,30,3.89,10,Poor
6,15,682,37,4,3198,125.99,26,1,50,1.21,7,Avg
2,7,560,40,3,1282,222.62,32,2,28,3.11,15,Poor
5,11,706,33,5,2155,95.17,19,1,60,0.73,8,Avg
3,7,524,49,1,1119,186.71,37,2,35,3.76,13,Poor
10,20,933,0,7,7084,91.22,7,0,75,0.1,0,Good
5,14,683,21,4,4785,101.76,25,1,54,0.54,9,Avg
7,17,919,4,9,7431,34.58,14,0,86,0.14,7,Good
10,16,990,16,8,8677,7.11,10,0,63,0.17,3,Good
2,8,463,43,3,1121,159.83,45,2,23,3.68,10,Poor
10,16,822,19,9,5470,92.68,1,0,84,0.3,7,Good
4,12,722,37,5,4200,83.39,18,1,41,0.84,8,Avg
6,14,720,31,4,2976,119.34,20,1,43,0.68,7,Avg
2,10,409,47,2,1044,189.89,36,2,32,3.79,10,Poor
1,10,410,50,1,1524,205.8,44,2,27,3.22,10,Poor
4,15,699,35,6,2811,88.42,20,1,42,1.22,8,Avg
5,12,722,35,4,4738,119.83,19,1,60,0.94,8,Avg
5,14,767,23,6,2993,130.68,27,1,51,0.66,9,Avg
3,8,416,46,1,1843,160.94,37,2,40,3.97,12,Poor
3,9,520,44,3,1406,204.74,46,2,22,2.97,14,Poor
2,10,547,46,2,1985,239.47,49,2,25,3.4,14,Poor
10,19,1046,2,10,8171,33.9,5,0,86,0.23,1,Good
1,7,469,45,1,1914,175.18,37,2,39,2.71,15,Poor
4,12,617,39,4,3954,92.87,25,1,44,0.92,8,Avg
5,15,664,25,6,4109,147.49,29,1,53,1.01,7,Avg
4,12,690,32,4,4045,81.59,22,1,51,1.22,8,Avg
5,11,681,35,5,3501,146.84,23,1,55,1.38,11,Avg
8,17,1084,7,8,6808,47.97,12,0,63,0.18,0,Good
3,8,493,41,2,1096,232.27,34,2,36,3.62,14,Poor
9,16,828,19,8,5425,81.06,12,0,63,0.15,2,Good
1,7,419,47,2,1303,218.71,38,2,34,2.67,15,Poor
1,9,470,48,1,1225,208.5,37,2,24,2.67,14,Poor
2,10,512,44,2,1531,163.51,50,2,33,3.68,13,Poor
3,7,431,41,3,1865,230.78,40,2,21,3.48,14,Poor
9,20,946,19,8,7575,36.15,13,0,89,0.33,6,Good
5,13,695,22,5,2925,91.69,21,1,54,1.38,8,Avg
5,14,640,20,4,2332,107.01,27,1,54,1.07,11,Avg
5,14,781,20,5,4462,112.12,23,1,56,0.88,10,Avg
9,16,1047,17,9,5905,54.37,5,0,70,0.34,0,Good
8,16,945,3,10,8809,80.07,7,0,90,0.32,0,Good
6,12,656,27,6,2750,132.3,29,1,52,1.21,9,Avg
2,8,521,42,2,1329,245.58,42,2,39,3.74,12,Poor
3,9,448,48,2,1287,182.12,38,2,23,3.81,15,Poor
9,20,921,2,8,5575,75.49,6,0,94,0.46,2,Good
3,10,524,40,2,1435,223.82,45,2,30,3.39,12,Poor
6,13,704,24,6,2732,104.38,16,1,51,1.18,8,Avg
5,11,692,21,4,3834,131.06,24,1,59,0.61,7,Avg
10,20,858,13,9,5314,28.68,0,0,93,0.39,0,Good
2,9,422,43,3,1569,228.35,39,2,36,3.49,11,Poor
3,10,489,41,1,1815,180.86,40,2,22,2.76,12,Poor
6,15,605,24,5,4022,142.38,15,1,51,1.12,8,Avg
2,8,422,44,1,1055,175.3,48,2,31,2.52,15,Poor
8,20,975,7,10,7001,49.1,14,0,89,0.24,1,Good
2,7,500,44,3,1698,217.07,39,2,21,2.65,15,Poor
2,8,531,45,2,1945,247.09,38,2,27,2.78,15,Poor
3,8,404,43,2,1558,234.5,40,2,28,3.48,13,Poor
5,12,662,32,6,4042,109.47,22,1,59,0.73,11,Avg
10,16,951,11,7,8613,61.13,6,0,74,0.43,0,Good
2,7,442,46,2,1915,214.14,43,2,21,3.01,13,Poor
1,10,418,45,1,1080,167.24,44,2,26,2.52,15,Poor
5,12,640,22,4,2284,103.06,16,1,47,1.19,10,Avg
7,20,1044,12,7,6961,8.54,4,0,86,0.23,1,Good
6,12,770,38,6,3647,113.73,19,1,53,0.96,8,Avg
1,7,538,45,1,1596,176.14,48,2,35,3.99,12,Poor
10,19,1008,10,10,5799,40.93,13,0,69,0.4,7,Good
4,14,780,39,5,4529,127.58,16,1,43,0.79,8,Avg
9,19,897,1,8,5121,42.13,6,0,96,0.16,3,Good
5,11,779,27,5,3289,127.88,28,1,58,0.77,10,Avg
3,8,498,47,3,1329,161.38,37,2,33,2.66,12,Poor
2,8,585,44,2,1879,161.6,40,2,32,2.63,14,Poor
9,18,1060,11,8,8584,33.58,2,0,76,0.45,4,Good
6,15,790,35,6,4647,79.75,25,1,47,1.18,10,Avg
8,19,849,3,9,5728,43.24,13,0,73,0.39,4,Good
2,9,585,50,1,1223,237.84,31,2,21,3.75,11,Poor
5,11,636,37,6,3294,115.34,26,1,46,1.49,10,Avg
10,18,918,9,9,5280,55.1,11,0,65,0.24,1,Good
7,16,1087,6,10,8404,6.15,12,0,94,0.39,2,Good
4,14,768,22,4,3563,126.15,25,1,56,1.38,7,Avg
1,10,421,43,1,1160,245.37,33,2,34,3.99,13,Poor
4,14,758,37,5,3312,133.25,15,1,43,1.38,8,Avg
8,18,876,8,10,8854,12.88,0,0,73,0.48,1,Good
10,18,978,2,7,5495,33.12,8,0,62,0.26,0,Good
7,20,904,16,9,8185,40.95,12,0,68,0.19,1,Good
9,18,1053,7,9,7869,80.31,3,0,71,0.35,3,Good
4,13,728,33,5,4148,90.38,19,1,49,1.15,6,Avg
1,7,515,43,2,1504,202.97,40,2,36,2.9,10,Poor
6,11,633,35,6,4924,109.46,24,1,57,0.8,8,Avg
2,7,586,43,2,1166,158.1,45,2,30,3.38,14,Poor
2,9,566,40,1,1923,219.57,35,2,21,2.6,12,Poor
3,8,568,47,3,1520,215.81,31,2,36,3.91,15,Poor
4,11,785,32,6,2110,104.52,22,1,55,1.46,9,Avg
3,7,486,44,2,1417,203.41,32,2,35,2.63,15,Poor
7,19,1068,2,9,6169,14.97,3,0,93,0.46,0,Good
10,18,833,13,8,8463,73.95,11,0,93,0.15,5,Good
5,15,794,36,4,4348,101.35,18,1,55,1.28,9,Avg
10,17,841,3,8,5810,23.83,8,0,66,0.21,6,Good
2,8,537,49,2,1754,239.53,50,2,34,2.72,15,Poor
6,13,727,34,5,3714,135.06,26,1,43,1.15,9,Avg
10,16,1081,16,9,7932,62.86,0,0,89,0.14,1,Good
9,19,984,16,9,7352,82.87,11,0,82,0.14,0,Good
10,16,1000,9,7,7195,28.64,3,0,95,0.41,0,Good
1,10,588,44,1,1981,242.94,42,2,30,3.52,13,Poor
1,7,442,44,1,1919,235.56,32,2,21,2.63,11,Poor
6,14,690,23,4,2395,144.02,29,1,43,1.38,8,Avg
4,11,620,31,6,3138,83.23,19,1,54,1.26,10,Avg
3,10,434,48,3,1308,213.32,38,2,38,3.69,15,Poor
1,10,508,46,1,1201,165.65,49,2,33,3.58,11,Poor
10,16,1033,16,9,5570,81.64,10,0,74,0.21,0,Good
2,8,469,48,3,1109,175.68,32,2,31,3.17,15,Poor
5,13,698,38,4,4346,122.55,25,1,47,1.25,6,Avg
5,11,747,39,5,4624,110.06,19,1,46,1.2,8,Avg
8,18,845,10,10,7916,84.55,9,0,74,0.17,7,Good
5,11,668,26,6,2806,109.02,19,1,48,0.5,10,Avg
3,7,559,49,2,1211,212.93,43,2,37,2.93,15,Poor
5,15,608,21,4,2695,111.1,23,1,60,0.59,8,Avg
3,9,529,46,3,1071,156.98,33,2,36,3.9,11,Poor
6,13,797,24,5,3220,126.49,19,1,49,0.68,8,Avg
7,20,870,3,8,8514,79.7,6,0,69,0.27,3,Good
8,20,956,8,10,7656,0.53,4,0,61,0.33,5,Good
6,12,788,22,4,2181,77.46,29,1,43,1.42,8,Avg
5,15,682,25,6,3785,134.07,19,1,49,0.88,8,Avg
6,13,733,20,6,3384,92.76,23,1,52,1.1,7,Avg
3,9,547,50,3,1811,239.67,41,2,33,3.7,10,Poor
5,15,606,26,6,3805,124.18,17,1,48,1.04,7,Avg
4,11,720,24,5,2971,112.08,15,1,60,1.45,10,Avg
1,10,589,46,3,1503,173.92,41,2,21,2.57,15,Poor
6,15,753,23,6,3927,102.9,28,1,59,0.61,6,Avg
5,12,770,21,5,3923,111.04,18,1,53,0.91,8,Avg
8,18,1057,18,7,8986,64.85,0,0,87,0.44,6,Good
9,17,972,5,10,5109,12.62,14,0,93,0.18,3,Good
7,17,821,16,9,5173,45.06,12,0,91,0.49,7,Good
1,7,575,45,2,1902,229.13,36,2,26,3.68,11,Poor
3,8,471,40,2,1103,177.4,46,2,22,3.89,14,Poor
5,13,697,38,4,4011,116.56,25,1,51,0.94,8,Avg
9,20,976,6,8,6443,47.25,1,0,86,0.14,2,Good
8,18,809,19,7,7266,11.04,14,0,88,0.27,6,Good
4,11,652,23,5,3281,110.29,22,1,45,1.28,11,Avg
6,11,606,20,5,2223,86.68,26,1,44,0.69,6,Avg
9,17,832,12,8,8803,11.56,7,0,85,0.23,3,Good
4,13,671,35,6,2752,147.25,27,1,53,0.78,8,Avg
5,14,652,25,5,2178,127.02,19,1,54,1.32,10,Avg
8,19,858,9,9,8147,9.12,6,0,96,0.18,1,Good
3,10,414,43,1,1200,204.25,46,2,26,3.23,10,Poor
2,7,466,41,1,1214,183.28,46,2,21,3.41,15,Poor
1,10,463,41,3,1800,164.52,33,2,37,3.87,15,Poor
4,14,629,24,6,2229,102.0,17,1,43,0.68,9,Avg
4,14,646,39,4,3557,148.0,26,1,41,0.8,8,Avg
2,7,408,49,1,1784,211.21,40,2,32,2.69,12,Poor
2,8,497,42,1,1605,171.0,46,2,24,3.21,12,Poor
2,8,546,41,1,1378,172.49,48,2,36,3.79,11,Poor
1,9,553,40,3,1127,167.46,34,2,36,3.52,14,Poor
5,13,775,27,4,3701,79.55,18,1,53,1.16,10,Avg
10,17,924,4,8,5948,40.41,8,0,90,0.19,0,Good
5,14,675,29,5,3388,112.1,26,1,55,0.8,10,Avg
2,7,408,50,3,1898,151.77,33,2,24,3.07,12,Poor
1,10,546,45,3,1372,159.91,44,2,26,2.83,15,Poor
4,14,745,30,6,4923,140.68,24,1,41,1.4,10,Avg
7,18,859,16,7,7746,74.22,6,0,73,0.33,7,Good
4,11,705,27,4,3695,127.15,18,1,49,1.48,10,Avg
6,13,619,38,4,2556,89.06,24,1,48,0.72,8,Avg
8,19,1051,1,8,8267,81.09,5,0,94,0.13,4,Good
3,8,499,48,1,1316,191.91,40,2,21,3.37,11,Poor
10,20,891,4,7,7150,77.73,3,0,82,0.4,6,Good
6,14,750,22,4,4161,123.61,16,1,57,1.22,8,Avg
2,8,454,42,3,1388,230.07,47,2,23,3.91,15,Poor
6,12,717,35,5,3508,92.64,26,1,54,1.41,10,Avg
2,7,403,49,2,1865,156.55,38,2,28,3.52,14,Poor
8,19,899,4,8,6488,38.56,7,0,64,0.31,2,Good
1,9,595,41,1,1518,234.67,50,2,24,3.29,12,Poor
9,16,802,9,7,7751,11.18,9,0,80,0.18,7,Good
2,10,443,43,3,1127,159.25,30,2,28,3.59,14,Poor
5,15,633,27,4,3379,132.34,24,1,44,1.22,10,Avg
3,9,500,44,2,1349,193.36,41,2,33,2.72,15,Poor
3,10,402,41,1,1647,231.74,47,2,28,3.74,15,Poor
10,17,1062,7,10,8112,27.27,6,0,69,0.18,4,Good
1,9,476,41,1,1253,181.85,46,2,32,2.73,15,Poor
4,13,757,21,4,3739,97.16,24,1,55,1.25,8,Avg
9,18,971,12,9,5946,54.6,8,0,77,0.16,4,Good
5,11,673,27,5,4276,102.28,28,1,42,0.73,9,Avg
5,15,712,39,6,2015,123.26,29,1,60,1.3,10,Avg
3,8,448,48,2,1256,196.95,30,2,36,3.38,13,Poor
4,13,797,24,5,4482,139.69,25,1,60,0.72,9,Avg
10,18,801,1,10,7006,89.55,3,0,65,0.11,7,Good
1,9,583,49,1,1578,185.09,38,2,29,2.89,13,Poor
5,11,712,35,5,4385,77.43,16,1,53,0.99,6,Avg
5,13,783,35,5,4735,143.26,22,1,48,0.84,9,Avg
7,18,1099,6,9,8398,19.26,2,0,76,0.18,7,Good
8,17,972,6,7,7198,63.67,0,0,100,0.46,7,Good
6,13,633,30,5,3366,79.09,26,1,58,0.87,6,Avg
6,13,694,27,4,3410,86.87,23,1,49,0.99,8,Avg
2,10,572,44,3,1219,195.06,47,2,38,3.99,14,Poor
2,8,514,48,3,1054,182.52,32,2,21,3.82,15,Poor
9,18,938,19,10,6251,81.92,9,0,68,0.19,0,Good
9,19,983,2,9,8129,59.95,0,0,69,0.39,6,Good
4,13,682,28,4,4310,95.27,21,1,60,0.61,10,Avg
4,12,731,32,4,3682,79.43,21,1,46,0.53,8,Avg
3,8,453,44,3,1916,160.91,31,2,28,3.46,15,Poor
8,18,1095,11,9,7820,84.36,2,0,100,0.21,7,Good
4,14,622,36,5,3093,91.25,23,1,57,0.98,8,Avg
10,20,816,7,8,5863,53.25,6,0,70,0.41,0,Good
4,13,709,20,5,2137,118.21,29,1,48,0.82,10,Avg
9,16,904,6,7,5744,1.83,4,0,86,0.34,1,Good
4,14,646,39,4,3050,137.49,16,1,51,1.02,9,Avg
6,15,699,24,6,4599,140.79,19,1,54,1.02,8,Avg
10,16,1094,17,8,5360,31.52,0,0,74,0.44,4,Good
3,9,571,40,2,1936,218.04,47,2,40,3.28,15,Poor
8,17,1064,14,9,7426,3.03,6,0,79,0.36,0,Good
1,8,443,47,3,1047,182.69,50,2,21,3.31,11,Poor
5,13,746,37,6,2455,115.42,17,1,43,0.87,6,Avg
10,19,960,1,10,5165,86.46,1,0,76,0.26,1,Good
8,20,858,0,8,5449,84.03,1,0,76,0.14,1,Good
5,15,742,39,6,3343,88.98,20,1,48,1.0,9,Avg
2,8,586,48,3,1554,216.84,45,2,26,2.69,11,Poor
4,13,607,39,5,3523,108.67,15,1,48,0.57,9,Avg
10,19,928,11,9,6901,9.16,10,0,67,0.33,1,Good
7,17,853,2,10,5225,38.32,10,0,88,0.38,1,Good
3,10,573,50,2,1236,177.72,32,2,35,2.94,13,Poor
8,18,863,14,10,8196,4.09,11,0,90,0.43,1,Good
4,14,757,23,4,3566,92.98,27,1,54,1.01,11,Avg
2,8,529,46,3,1285,188.96,34,2,34,3.02,15,Poor
5,11,738,39,6,4115,139.04,28,1,55,0.76,7,Avg
8,16,957,0,7,8014,31.35,1,0,73,0.11,6,Good
5,11,732,35,5,3104,133.24,22,1,59,0.77,9,Avg
1,7,517,47,1,1635,190.61,34,2,31,2.73,12,Poor
1,10,504,41,2,1379,242.85,41,2,40,2.9,15,Poor
4,12,721,27,6,2193,93.17,25,1,47,0.84,9,Avg
8,18,831,7,9,7058,57.23,5,0,71,0.46,3,Good
7,16,983,8,9,8554,48.87,12,0,67,0.18,0,Good
6,13,741,20,4,3291,145.49,29,1,59,1.35,8,Avg
8,16,916,12,9,7650,40.54,2,0,70,0.16,3,Good
6,12,751,37,5,3370,135.14,24,1,42,1.19,11,Avg
8,16,873,8,7,7713,84.71,0,0,83,0.19,2,Good
2,9,577,50,3,1226,241.52,30,2,32,3.02,15,Poor
6,14,715,30,6,2044,78.54,26,1,57,0.75,8,Avg
6,11,748,28,4,3489,133.16,16,1,42,0.86,6,Avg
5,13,772,23,5,4598,132.5,21,1,57,1.31,11,Avg
6,12,690,23,4,4949,103.86,26,1,52,0.95,11,Avg
7,20,867,11,10,7806,2.24,11,0,62,0.27,2,Good
5,11,692,39,5,4894,92.2,16,1,47,1.1,9,Avg
5,12,662,31,5,2182,117.24,29,1,51,1.12,10,Avg
2,10,412,44,2,1827,237.16,43,2,25,2.81,10,Poor
9,17,1005,11,9,7502,16.15,13,0,75,0.2,4,Good
6,13,793,26,6,4320,122.94,28,1,54,0.82,6,Avg
2,10,542,46,1,1516,196.63,41,2,39,3.6,15,Poor
10,19,937,15,7,7789,24.24,4,0,67,0.3,2,Good
6,14,738,38,6,3783,127.69,23,1,60,1.42,7,Avg
7,16,914,18,7,5864,42.01,13,0,93,0.48,7,Good
9,20,920,3,8,5429,44.77,5,0,89,0.49,0,Good
3,8,419,40,2,1854,172.49,50,2,37,3.61,13,Poor
10,17,1069,11,10,5909,54.82,1,0,69,0.26,7,Good
10,20,1022,9,7,8986,35.7,8,0,81,0.14,7,Good
3,9,544,40,3,1129,166.87,45,2,24,3.31,12,Poor
3,8,555,41,3,1623,151.14,34,2,27,2.79,15,Poor
9,17,1007,10,10,5686,44.41,10,0,65,0.26,4,Good
3,8,487,47,3,1199,163.37,32,2,33,2.62,14,Poor
1,8,529,44,1,1994,230.31,38,2,26,3.01,12,Poor
2,10,505,48,2,1061,204.58,43,2,25,2.93,14,Poor
2,8,433,44,3,1941,219.58,41,2,32,3.06,13,Poor
4,11,761,32,4,2809,95.04,15,1,47,1.18,10,Avg
5,12,742,38,4,3450,90.32,29,1,55,0.54,7,Avg
9,16,1094,19,9,7604,33.92,1,0,93,0.4,3,Good
5,14,736,20,5,2115,144.18,29,1,59,1.3,9,Avg
5,11,699,24,5,2409,129.42,28,1,44,0.67,6,Avg
8,20,857,8,7,6028,45.21,1,0,77,0.11,5,Good
9,18,984,3,10,5987,20.09,12,0,91,0.29,0,Good
6,14,744,33,6,2071,129.69,17,1,54,1.41,8,Avg
4,15,725,24,5,3361,113.37,28,1,43,0.61,8,Avg
9,20,989,14,7,7797,58.42,11,0,63,0.14,7,Good
6,11,627,22,5,4323,77.31,15,1,55,0.96,8,Avg
5,14,691,27,5,3787,138.23,19,1,57,1.29,9,Avg
2,10,456,46,3,1862,238.38,41,2,30,3.8,11,Poor
1,9,596,40,2,1724,168.93,49,2,36,2.82,12,Poor
3,9,538,46,3,1803,233.29,47,2,25,3.61,12,Poor
5,13,601,26,6,3928,91.45,26,1,53,0.62,10,Avg
6,15,665,37,5,2911,125.04,25,1,56,0.59,11,Avg
3,8,558,43,1,1196,158.06,43,2,40,2.86,14,Poor
2,9,428,42,3,1606,163.29,31,2,21,2.88,15,Poor
5,13,681,38,5,3137,107.73,29,1,55,0.85,11,Avg
3,7,571,49,2,1906,176.51,38,2,24,3.98,14,Poor
10,16,1081,15,10,7730,4.82,7,0,64,0.11,1,Good
1,10,411,41,1,1889,186.93,45,2,36,3.19,11,Poor
5,13,667,26,6,3047,140.81,16,1,60,0.77,6,Avg
3,10,446,40,1,1078,221.02,43,2,32,3.62,14,Poor
2,10,400,42,2,1665,160.35,37,2,24,3.98,10,Poor
3,7,432,41,1,1514,235.19,39,2,27,2.66,11,Poor
3,10,560,40,1,1209,192.27,36,2,36,3.37,13,Poor
2,8,504,45,3,1049,233.19,40,2,32,3.26,14,Poor
5,11,605,23,5,4827,113.56,20,1,54,0.74,8,Avg
5,15,747,35,4,2600,86.18,25,1,48,0.56,11,Avg
9,20,1066,7,9,6555,69.04,6,0,84,0.21,2,Good
